"id_pedido","id_produto","qtd","preco_unit","desconto"
81,20,8,904.09,0.00
81,16,9,872.56,78.53
81,19,5,798.36,0.00
82,18,10,817.73,65.42
83,4,9,664.36,6.64
83,10,3,820.94,0.00
83,15,10,252.50,7.57
84,17,8,835.98,0.00
85,13,2,236.78,7.10
85,11,6,528.31,26.42
85,11,2,528.31,52.83
85,19,5,798.36,7.98
86,8,5,267.22,10.69
87,19,8,798.36,71.85
88,10,4,820.94,41.05
89,7,2,439.56,8.79
90,3,6,959.40,86.35
90,17,10,835.98,16.72
91,5,4,105.06,6.30
91,7,2,439.56,4.40
91,14,6,193.47,17.41
92,20,4,904.09,45.20
93,12,5,491.65,9.83
93,12,2,491.65,34.42
94,2,1,229.05,6.87
94,17,9,835.98,16.72
95,16,8,872.56,78.53
95,17,1,835.98,66.88
96,11,8,528.31,26.42
96,7,1,439.56,4.40
96,3,8,959.40,0.00
96,15,7,252.50,15.15
97,13,3,236.78,7.10
97,19,7,798.36,15.97
98,11,4,528.31,21.13
99,3,5,959.40,28.78
100,20,5,904.09,54.25
100,3,7,959.40,38.38
101,11,6,528.31,0.00
101,11,5,528.31,15.85
102,2,9,229.05,4.58
102,12,1,491.65,49.17
102,1,7,190.94,1.91
103,10,6,820.94,8.21
104,12,3,491.65,44.25
104,7,8,439.56,21.98
105,19,4,798.36,79.84
106,18,9,817.73,24.53
107,19,7,798.36,0.00
108,14,8,193.47,9.67
109,1,1,190.94,7.64
110,1,8,190.94,17.18
111,11,1,528.31,5.28
112,19,6,798.36,0.00
112,3,5,959.40,86.35
113,5,8,105.06,9.46
114,8,10,267.22,10.69
115,9,9,247.20,14.83
115,15,6,252.50,12.63
115,13,3,236.78,4.74
116,2,3,229.05,11.45
117,15,8,252.50,15.15
118,3,10,959.40,57.56
118,5,4,105.06,7.35
119,5,2,105.06,8.40
120,15,4,252.50,5.05
120,7,2,439.56,13.19
120,20,2,904.09,0.00
120,20,10,904.09,36.16
121,7,8,439.56,13.19
122,20,6,904.09,54.25
123,2,1,229.05,20.61
123,1,5,190.94,13.37
123,16,6,872.56,43.63
124,12,2,491.65,39.33
125,10,5,820.94,73.88
125,18,3,817.73,40.89
125,14,5,193.47,5.80
126,11,7,528.31,31.70
127,2,1,229.05,0.00
128,18,5,817.73,8.18
129,4,9,664.36,6.64
130,20,5,904.09,90.41
130,13,7,236.78,16.57
130,11,9,528.31,21.13
131,17,9,835.98,83.60
131,7,1,439.56,30.77
132,7,5,439.56,8.79
132,16,2,872.56,8.73
133,2,8,229.05,20.61
134,12,4,491.65,39.33
134,7,2,439.56,21.98
135,4,10,664.36,13.29
136,8,7,267.22,21.38
137,17,1,835.98,50.16
138,16,6,872.56,52.35
138,9,3,247.20,22.25
139,5,7,105.06,3.15
140,20,10,904.09,90.41
141,13,2,236.78,16.57
142,16,6,872.56,0.00
142,13,5,236.78,14.21
142,4,1,664.36,46.51
143,2,10,229.05,9.16
143,18,4,817.73,57.24
143,14,8,193.47,19.35
144,3,9,959.40,19.19
144,18,8,817.73,16.35
144,15,4,252.50,25.25
145,7,5,439.56,26.37
146,7,1,439.56,0.00
147,11,7,528.31,5.28
148,19,10,798.36,23.95
149,9,3,247.20,7.42
150,3,8,959.40,19.19
150,2,7,229.05,9.16
151,3,5,959.40,76.75
152,5,7,105.06,6.30
152,9,7,247.20,22.25
153,1,8,190.94,1.91
154,4,9,664.36,59.79
155,13,3,236.78,0.00
155,8,9,267.22,0.00
155,12,1,491.65,39.33
156,5,7,105.06,6.30
157,11,7,528.31,15.85
157,12,1,491.65,4.92
157,2,2,229.05,6.87
158,13,7,236.78,9.47
158,19,5,798.36,63.87
158,17,3,835.98,75.24
159,13,8,236.78,21.31
160,1,9,190.94,9.55
161,15,6,252.50,12.63
161,9,7,247.20,9.89
162,17,2,835.98,50.16
163,2,4,229.05,13.74
163,9,1,247.20,9.89
164,10,9,820.94,0.00
165,1,6,190.94,19.09
165,14,8,193.47,11.61
166,6,5,345.27,24.17
167,1,3,190.94,13.37
168,12,10,491.65,44.25
169,12,6,491.65,19.67
170,4,1,664.36,6.64
171,8,7,267.22,2.67
172,3,9,959.40,57.56
173,6,4,345.27,34.53
174,18,3,817.73,32.71
175,11,1,528.31,0.00
176,2,2,229.05,18.32
177,18,8,817.73,40.89
178,18,1,817.73,40.89
179,17,10,835.98,83.60
180,5,4,105.06,10.51
181,9,6,247.20,7.42
181,6,10,345.27,13.81
181,2,9,229.05,20.61
182,7,5,439.56,21.98
182,10,6,820.94,41.05
182,9,5,247.20,2.47
182,3,3,959.40,95.94
183,19,5,798.36,55.89
183,6,9,345.27,34.53
184,6,4,345.27,10.36
185,7,4,439.56,21.98
185,16,3,872.56,52.35
185,16,8,872.56,61.08
186,20,3,904.09,54.25
187,8,6,267.22,26.72
187,9,3,247.20,24.72
188,16,4,872.56,78.53
188,6,4,345.27,13.81
189,3,5,959.40,67.16
189,16,5,872.56,69.80
190,15,10,252.50,10.10
190,13,10,236.78,11.84
191,7,1,439.56,26.37
192,15,10,252.50,15.15
192,2,9,229.05,13.74
192,16,8,872.56,34.90
193,8,9,267.22,16.03
194,2,1,229.05,18.32
195,5,7,105.06,2.10
196,4,6,664.36,59.79
197,14,5,193.47,9.67
198,5,6,105.06,6.30
198,20,2,904.09,81.37
199,2,3,229.05,4.58
199,1,2,190.94,1.91
199,6,8,345.27,6.91
200,16,4,872.56,17.45
201,9,1,247.20,19.78
201,20,9,904.09,63.29
202,20,8,904.09,90.41
203,19,10,798.36,31.93
204,12,2,491.65,29.50
205,18,2,817.73,40.89
205,3,8,959.40,95.94
205,2,8,229.05,16.03
206,7,10,439.56,17.58
206,13,9,236.78,21.31
206,13,1,236.78,21.31
206,11,3,528.31,5.28
207,12,1,491.65,34.42
208,20,10,904.09,9.04
208,4,6,664.36,0.00
208,7,10,439.56,0.00
208,14,9,193.47,15.48
209,1,2,190.94,15.28
209,18,2,817.73,8.18
209,9,6,247.20,14.83
210,15,9,252.50,2.53
210,6,5,345.27,0.00
210,2,10,229.05,11.45
211,19,1,798.36,55.89
212,3,3,959.40,0.00
212,1,7,190.94,0.00
212,3,9,959.40,95.94
213,6,9,345.27,17.26
213,1,5,190.94,13.37
213,18,2,817.73,0.00
214,15,8,252.50,17.68
215,14,10,193.47,19.35
216,14,5,193.47,5.80
217,8,7,267.22,0.00
217,6,9,345.27,20.72
217,10,10,820.94,0.00
218,1,2,190.94,7.64
219,6,3,345.27,20.72
219,11,1,528.31,10.57
220,15,7,252.50,5.05
220,12,10,491.65,14.75
220,11,5,528.31,15.85
221,17,2,835.98,16.72
222,8,9,267.22,0.00
223,12,9,491.65,24.58
223,6,2,345.27,31.07
223,12,10,491.65,19.67
223,11,10,528.31,52.83
224,19,4,798.36,7.98
224,9,7,247.20,22.25
225,4,6,664.36,0.00
226,6,6,345.27,20.72
226,8,1,267.22,26.72
226,8,9,267.22,24.05
227,9,6,247.20,7.42
227,16,6,872.56,34.90
228,7,9,439.56,8.79
229,15,2,252.50,20.20
230,11,8,528.31,31.70
230,4,2,664.36,0.00
230,8,1,267.22,13.36
231,3,9,959.40,38.38
232,18,9,817.73,81.77
232,6,9,345.27,34.53
232,15,9,252.50,20.20
232,12,3,491.65,34.42
233,9,1,247.20,24.72
234,12,3,491.65,4.92
235,1,10,190.94,0.00
236,17,6,835.98,66.88
236,13,1,236.78,9.47
236,20,9,904.09,63.29
237,7,4,439.56,43.96
237,11,1,528.31,26.42
237,18,4,817.73,24.53
238,1,8,190.94,1.91
239,18,2,817.73,57.24
239,18,1,817.73,57.24
239,9,3,247.20,14.83
240,12,8,491.65,34.42
240,5,7,105.06,7.35
240,20,10,904.09,90.41
241,10,5,820.94,82.09
241,4,8,664.36,6.64
241,10,5,820.94,41.05
242,17,7,835.98,25.08
242,6,2,345.27,27.62
243,8,4,267.22,2.67
244,5,9,105.06,0.00
245,9,6,247.20,7.42
245,18,1,817.73,73.60
246,5,7,105.06,7.35
246,16,9,872.56,0.00
246,15,5,252.50,12.63
247,18,10,817.73,40.89
248,14,2,193.47,1.93
248,14,1,193.47,9.67
249,20,3,904.09,63.29
249,2,1,229.05,20.61
250,6,8,345.27,13.81
251,4,2,664.36,66.44
252,13,8,236.78,0.00
253,3,7,959.40,28.78
254,19,9,798.36,7.98
254,16,5,872.56,17.45
255,9,10,247.20,2.47
255,4,10,664.36,46.51
256,14,10,193.47,5.80
257,5,1,105.06,8.40
258,11,2,528.31,47.55
259,2,6,229.05,20.61
260,7,1,439.56,26.37
260,12,3,491.65,49.17
260,14,5,193.47,5.80
261,3,10,959.40,0.00
262,19,5,798.36,47.90
262,5,6,105.06,0.00
263,20,3,904.09,36.16
264,4,6,664.36,26.57
264,7,10,439.56,17.58
264,1,8,190.94,11.46
265,4,6,664.36,13.29
265,4,9,664.36,6.64
265,12,4,491.65,24.58
266,20,7,904.09,63.29
267,15,2,252.50,0.00
268,16,3,872.56,87.26
268,15,3,252.50,20.20
269,20,3,904.09,9.04
269,20,1,904.09,27.12
270,11,2,528.31,47.55
271,7,7,439.56,35.16
271,4,8,664.36,59.79
272,7,9,439.56,17.58
272,14,8,193.47,3.87
272,2,7,229.05,13.74
273,15,9,252.50,2.53
273,15,1,252.50,7.57
274,5,5,105.06,6.30
275,7,3,439.56,4.40
276,11,6,528.31,31.70
277,9,4,247.20,7.42
278,1,6,190.94,3.82
279,11,10,528.31,15.85
279,7,6,439.56,43.96
280,14,5,193.47,3.87
280,2,6,229.05,13.74
280,20,8,904.09,9.04
280,3,8,959.40,67.16
281,9,7,247.20,14.83
281,10,3,820.94,24.63
281,13,8,236.78,2.37
282,18,6,817.73,24.53
283,9,7,247.20,17.30
284,16,8,872.56,87.26
285,10,3,820.94,73.88
285,15,1,252.50,20.20
285,8,9,267.22,21.38
286,16,5,872.56,69.80
287,2,10,229.05,0.00
288,9,3,247.20,19.78
288,20,9,904.09,81.37
288,5,9,105.06,10.51
289,14,9,193.47,19.35
290,7,2,439.56,8.79
290,16,1,872.56,61.08
290,5,5,105.06,7.35
291,12,10,491.65,34.42
291,7,6,439.56,13.19
291,12,5,491.65,44.25
292,6,5,345.27,13.81
293,13,3,236.78,21.31
294,15,10,252.50,20.20
295,17,2,835.98,25.08
295,7,2,439.56,26.37
296,4,10,664.36,13.29
297,7,2,439.56,8.79
297,3,9,959.40,67.16
298,8,3,267.22,26.72
299,13,5,236.78,2.37
299,17,5,835.98,33.44
300,16,1,872.56,17.45
300,3,9,959.40,76.75
300,7,2,439.56,39.56
301,20,9,904.09,90.41
302,15,4,252.50,20.20
302,19,7,798.36,63.87
302,19,6,798.36,7.98
302,16,9,872.56,34.90
303,3,4,959.40,76.75
303,12,7,491.65,34.42
303,13,9,236.78,23.68
304,17,10,835.98,58.52
305,5,2,105.06,0.00
305,18,3,817.73,0.00
306,17,5,835.98,83.60
306,12,4,491.65,49.17
307,12,4,491.65,0.00
308,13,6,236.78,7.10
308,13,6,236.78,2.37
309,7,1,439.56,17.58
310,14,3,193.47,19.35
310,7,8,439.56,30.77
310,11,10,528.31,15.85
311,8,5,267.22,5.34
311,11,2,528.31,15.85
312,12,2,491.65,14.75
312,6,4,345.27,13.81
312,13,3,236.78,7.10
313,8,8,267.22,5.34
313,10,1,820.94,73.88
313,8,2,267.22,2.67
314,16,4,872.56,61.08
314,7,7,439.56,0.00
314,19,5,798.36,63.87
314,10,4,820.94,73.88
315,1,2,190.94,5.73
316,19,1,798.36,55.89
317,3,1,959.40,0.00
318,6,10,345.27,24.17
319,15,8,252.50,22.72
319,8,4,267.22,18.71
319,12,1,491.65,9.83
320,6,3,345.27,27.62
320,6,4,345.27,10.36
321,3,5,959.40,19.19
321,8,2,267.22,2.67
321,7,9,439.56,21.98
321,17,8,835.98,50.16
322,10,6,820.94,65.68
322,2,4,229.05,18.32
322,18,10,817.73,24.53
323,7,7,439.56,43.96
324,17,7,835.98,8.36
325,13,9,236.78,23.68
326,12,7,491.65,24.58
327,7,4,439.56,0.00
327,13,6,236.78,18.94
327,12,3,491.65,14.75
328,1,9,190.94,5.73
329,1,1,190.94,0.00
329,10,2,820.94,49.26
330,15,5,252.50,25.25
331,19,4,798.36,15.97
331,12,2,491.65,39.33
331,14,5,193.47,7.74
332,17,4,835.98,0.00
332,6,5,345.27,34.53
333,9,4,247.20,2.47
333,12,8,491.65,0.00
334,7,10,439.56,26.37
334,6,8,345.27,0.00
334,13,9,236.78,9.47
335,15,5,252.50,12.63
336,9,1,247.20,14.83
337,13,7,236.78,4.74
338,9,8,247.20,12.36
339,20,5,904.09,36.16
340,7,9,439.56,21.98
340,12,1,491.65,49.17
340,11,5,528.31,52.83
341,20,5,904.09,54.25
342,17,9,835.98,58.52
342,13,1,236.78,4.74
342,5,8,105.06,5.25
342,13,8,236.78,9.47
343,13,3,236.78,16.57
343,3,10,959.40,9.59
344,4,3,664.36,39.86
344,3,5,959.40,19.19
344,19,5,798.36,39.92
344,5,10,105.06,1.05
345,6,3,345.27,31.07
345,12,1,491.65,44.25
345,5,3,105.06,4.20
346,10,2,820.94,49.26
347,8,7,267.22,8.02
347,5,7,105.06,3.15
348,13,1,236.78,7.10
348,12,5,491.65,49.17
348,13,2,236.78,2.37
349,19,6,798.36,71.85
350,18,8,817.73,65.42
351,7,5,439.56,4.40
351,10,10,820.94,73.88
351,10,2,820.94,32.84
352,10,5,820.94,65.68
353,3,5,959.40,9.59
353,3,5,959.40,9.59
353,17,4,835.98,0.00
354,4,1,664.36,0.00
355,19,6,798.36,23.95
356,3,7,959.40,38.38
357,6,4,345.27,31.07
358,19,10,798.36,79.84
358,6,10,345.27,27.62
358,2,1,229.05,0.00
359,2,9,229.05,6.87
359,10,5,820.94,73.88
360,13,9,236.78,16.57
360,17,10,835.98,33.44
360,20,3,904.09,54.25
360,3,8,959.40,47.97
361,13,5,236.78,9.47
361,5,1,105.06,10.51
362,17,4,835.98,8.36
363,5,8,105.06,1.05
364,7,6,439.56,17.58
365,14,2,193.47,0.00
366,5,6,105.06,10.51
367,19,4,798.36,55.89
368,11,3,528.31,47.55
368,14,3,193.47,11.61
369,12,5,491.65,29.50
369,5,1,105.06,0.00
369,5,1,105.06,4.20
370,8,7,267.22,24.05
371,20,1,904.09,27.12
372,8,10,267.22,0.00
372,9,7,247.20,24.72
372,11,6,528.31,10.57
373,9,10,247.20,2.47
374,4,4,664.36,0.00
375,8,9,267.22,10.69
375,17,10,835.98,75.24
375,10,10,820.94,8.21
375,19,2,798.36,23.95
376,19,8,798.36,31.93
376,20,7,904.09,63.29
376,4,1,664.36,19.93
377,4,6,664.36,19.93
378,2,5,229.05,22.91
379,6,6,345.27,10.36
380,2,6,229.05,18.32
381,10,8,820.94,0.00
382,15,8,252.50,25.25
382,2,7,229.05,16.03
382,3,6,959.40,47.97
383,12,6,491.65,49.17
384,6,10,345.27,6.91
385,9,8,247.20,22.25
385,7,4,439.56,43.96
385,16,5,872.56,61.08
386,5,6,105.06,4.20
386,17,1,835.98,83.60
386,15,3,252.50,10.10
387,12,3,491.65,24.58
388,19,1,798.36,0.00
388,3,2,959.40,95.94
389,9,8,247.20,14.83
389,4,7,664.36,13.29
389,12,9,491.65,4.92
390,12,3,491.65,39.33
391,1,10,190.94,17.18
391,13,1,236.78,4.74
392,13,9,236.78,7.10
392,7,7,439.56,35.16
392,5,8,105.06,2.10
393,1,8,190.94,3.82
393,13,2,236.78,23.68
394,13,9,236.78,23.68
395,18,5,817.73,32.71
396,4,5,664.36,33.22
397,16,1,872.56,43.63
398,10,4,820.94,41.05
399,15,10,252.50,10.10
400,2,1,229.05,20.61
400,9,4,247.20,9.89
400,19,7,798.36,15.97
400,11,5,528.31,15.85
401,5,1,105.06,6.30
402,13,4,236.78,0.00
403,14,5,193.47,0.00
404,4,3,664.36,46.51
404,9,9,247.20,22.25
404,8,9,267.22,21.38
405,3,10,959.40,0.00
406,13,2,236.78,11.84
407,4,7,664.36,13.29
407,3,5,959.40,28.78
407,7,9,439.56,39.56
408,18,9,817.73,0.00
409,7,1,439.56,4.40
409,12,4,491.65,14.75
409,11,1,528.31,5.28
410,4,3,664.36,26.57
411,20,2,904.09,54.25
412,16,6,872.56,52.35
413,5,2,105.06,2.10
413,7,9,439.56,8.79
414,12,3,491.65,19.67
414,20,4,904.09,45.20
414,11,1,528.31,5.28
415,11,8,528.31,52.83
415,6,6,345.27,17.26
415,5,5,105.06,6.30
416,8,10,267.22,10.69
417,13,2,236.78,14.21
417,10,7,820.94,32.84
418,6,1,345.27,3.45
419,18,5,817.73,0.00
420,15,3,252.50,20.20
420,18,2,817.73,65.42
421,8,3,267.22,10.69
421,2,10,229.05,16.03
421,6,4,345.27,34.53
422,6,5,345.27,24.17
422,14,7,193.47,1.93
422,16,2,872.56,78.53
422,2,5,229.05,20.61
423,4,1,664.36,13.29
424,20,7,904.09,54.25
425,19,1,798.36,79.84
426,1,4,190.94,3.82
427,7,6,439.56,43.96
427,11,4,528.31,36.98
427,19,8,798.36,15.97
428,3,4,959.40,47.97
428,4,6,664.36,6.64
429,5,7,105.06,7.35
430,8,9,267.22,24.05
431,15,7,252.50,0.00
431,12,10,491.65,0.00
431,13,3,236.78,2.37
432,12,5,491.65,24.58
432,10,5,820.94,8.21
433,1,2,190.94,3.82
434,10,8,820.94,82.09
435,8,1,267.22,18.71
435,6,10,345.27,34.53
436,2,3,229.05,9.16
436,6,4,345.27,3.45
436,17,5,835.98,75.24
437,6,9,345.27,34.53
437,14,1,193.47,19.35
438,8,3,267.22,8.02
439,14,9,193.47,7.74
440,4,9,664.36,39.86
441,16,7,872.56,69.80
441,10,6,820.94,0.00
441,2,8,229.05,2.29
442,7,10,439.56,39.56
443,8,6,267.22,2.67
443,20,10,904.09,0.00
443,19,5,798.36,23.95
444,15,2,252.50,7.57
444,18,4,817.73,49.06
445,17,9,835.98,41.80
445,6,7,345.27,3.45
446,11,9,528.31,36.98
446,17,7,835.98,8.36
447,12,7,491.65,34.42
448,19,4,798.36,71.85
449,6,6,345.27,17.26
450,17,5,835.98,75.24
451,20,6,904.09,0.00
452,9,10,247.20,7.42
452,10,5,820.94,32.84
453,11,4,528.31,31.70
453,12,4,491.65,49.17
453,6,2,345.27,27.62
453,18,4,817.73,49.06
454,4,4,664.36,0.00
455,9,4,247.20,9.89
456,6,9,345.27,27.62
456,8,2,267.22,5.34
456,10,3,820.94,65.68
457,18,2,817.73,32.71
457,4,6,664.36,33.22
458,11,4,528.31,5.28
459,16,9,872.56,61.08
460,1,4,190.94,1.91
460,15,1,252.50,25.25
460,20,8,904.09,81.37
461,17,5,835.98,66.88
461,20,1,904.09,54.25
461,17,9,835.98,41.80
461,11,2,528.31,52.83
462,3,3,959.40,28.78
462,17,10,835.98,83.60
463,3,7,959.40,95.94
464,17,8,835.98,83.60
464,18,10,817.73,40.89
465,16,4,872.56,8.73
466,12,7,491.65,49.17
466,7,7,439.56,26.37
466,4,6,664.36,46.51
467,8,1,267.22,21.38
467,8,7,267.22,2.67
467,14,6,193.47,19.35
468,12,4,491.65,39.33
469,20,6,904.09,72.33
469,3,8,959.40,86.35
469,9,1,247.20,12.36
470,3,5,959.40,0.00
470,1,5,190.94,9.55
470,5,1,105.06,8.40
471,6,2,345.27,0.00
472,5,6,105.06,3.15
473,19,10,798.36,15.97
473,7,2,439.56,13.19
473,7,7,439.56,35.16
474,3,10,959.40,47.97
475,1,1,190.94,11.46
476,6,5,345.27,24.17
476,16,7,872.56,17.45
477,12,6,491.65,4.92
478,2,4,229.05,22.91
478,2,1,229.05,22.91
479,1,1,190.94,9.55
480,2,9,229.05,4.58
481,17,7,835.98,75.24
481,4,8,664.36,19.93
481,19,1,798.36,15.97
482,5,7,105.06,6.30
483,7,7,439.56,4.40
483,15,1,252.50,0.00
483,19,6,798.36,39.92
484,12,2,491.65,39.33
484,13,6,236.78,14.21
484,13,10,236.78,4.74
485,9,9,247.20,2.47
485,3,10,959.40,0.00
486,17,2,835.98,8.36
487,4,4,664.36,59.79
488,19,4,798.36,15.97
488,9,5,247.20,14.83
488,17,4,835.98,0.00
489,15,3,252.50,10.10
490,15,9,252.50,10.10
490,2,7,229.05,0.00
490,2,7,229.05,11.45
491,18,6,817.73,24.53
491,14,6,193.47,19.35
492,8,7,267.22,10.69
492,18,5,817.73,40.89
492,11,3,528.31,21.13
493,17,10,835.98,75.24
494,15,2,252.50,10.10
494,18,5,817.73,73.60
495,7,6,439.56,26.37
496,1,5,190.94,19.09
497,20,2,904.09,90.41
498,12,8,491.65,29.50
499,8,5,267.22,24.05
499,3,3,959.40,57.56
499,13,10,236.78,14.21
500,6,7,345.27,3.45
500,16,4,872.56,61.08
501,2,4,229.05,9.16
502,14,1,193.47,1.93
502,3,6,959.40,28.78
503,7,3,439.56,17.58
503,19,8,798.36,7.98
503,15,5,252.50,12.63
504,18,8,817.73,0.00
505,16,2,872.56,17.45
505,18,6,817.73,32.71
506,12,4,491.65,29.50
507,3,7,959.40,47.97
507,14,1,193.47,1.93
508,7,9,439.56,8.79
509,6,3,345.27,27.62
510,18,3,817.73,8.18
510,6,10,345.27,17.26
511,19,2,798.36,39.92
511,6,1,345.27,6.91
511,1,4,190.94,7.64
512,9,10,247.20,17.30
512,9,1,247.20,17.30
512,7,3,439.56,35.16
513,20,2,904.09,81.37
514,2,3,229.05,20.61
514,18,8,817.73,8.18
515,5,2,105.06,10.51
516,11,1,528.31,5.28
517,13,1,236.78,9.47
517,12,6,491.65,34.42
517,10,1,820.94,16.42
518,14,2,193.47,19.35
519,3,9,959.40,76.75
520,11,3,528.31,42.26
521,6,9,345.27,0.00
522,11,8,528.31,10.57
523,8,5,267.22,10.69
524,11,7,528.31,52.83
525,8,6,267.22,16.03
526,12,8,491.65,44.25
526,15,3,252.50,10.10
526,4,1,664.36,46.51
526,17,9,835.98,50.16
527,12,10,491.65,49.17
528,9,4,247.20,24.72
528,11,3,528.31,0.00
528,1,1,190.94,13.37
529,5,9,105.06,10.51
530,13,5,236.78,14.21
531,15,10,252.50,20.20
532,14,9,193.47,19.35
532,18,2,817.73,24.53
533,7,2,439.56,8.79
534,14,10,193.47,19.35
534,16,5,872.56,87.26
535,3,9,959.40,76.75
536,15,2,252.50,7.57
536,4,3,664.36,0.00
537,17,2,835.98,75.24
538,18,1,817.73,57.24
538,11,9,528.31,21.13
538,3,4,959.40,9.59
539,9,8,247.20,17.30
539,1,10,190.94,15.28
539,12,8,491.65,24.58
540,18,10,817.73,73.60
541,20,4,904.09,72.33
541,12,2,491.65,49.17
541,12,4,491.65,44.25
542,11,3,528.31,15.85
542,5,5,105.06,0.00
542,6,6,345.27,27.62
543,2,8,229.05,9.16
544,14,6,193.47,3.87
545,2,8,229.05,18.32
546,7,2,439.56,0.00
547,7,7,439.56,17.58
548,6,1,345.27,34.53
549,4,8,664.36,26.57
550,13,3,236.78,16.57
550,13,8,236.78,2.37
551,6,2,345.27,17.26
551,7,1,439.56,21.98
552,14,2,193.47,17.41
552,15,8,252.50,0.00
553,16,9,872.56,0.00
554,15,7,252.50,22.72
555,9,4,247.20,4.94
555,2,9,229.05,13.74
555,1,9,190.94,11.46
556,16,8,872.56,0.00
557,3,5,959.40,0.00
557,2,6,229.05,11.45
557,16,8,872.56,0.00
558,17,3,835.98,0.00
558,7,7,439.56,4.40
559,13,6,236.78,11.84
559,3,9,959.40,86.35
560,1,2,190.94,13.37
560,15,1,252.50,22.72
560,6,7,345.27,24.17
560,9,10,247.20,17.30
561,7,5,439.56,26.37
561,5,2,105.06,1.05
562,6,9,345.27,34.53
562,3,4,959.40,76.75
562,5,1,105.06,6.30
563,4,6,664.36,46.51
563,6,9,345.27,20.72
563,7,1,439.56,8.79
564,6,10,345.27,24.17
565,4,4,664.36,13.29
566,6,4,345.27,10.36
567,20,2,904.09,72.33
567,12,9,491.65,24.58
567,12,9,491.65,14.75
